Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
01/26/2022,United States,2020,1,2020-01-04,60173,55007,843,11569,1829,2537,1559,3501,1067,1094,629,14202,3110,0,0,,,,,,,,,,,,,,,
01/26/2022,United States,2020,2,2020-01-11,60741,55758,861,11962,1941,2566,1528,3710,1035,1092,649,13913,3188,1,1,,,,,,,,,,,,,,,
01/26/2022,United States,2020,3,2020-01-18,59360,54515,829,11702,1819,2491,1484,3526,992,1121,610,13593,3256,2,1,,,,,,,,,,,,,,,
01/26/2022,United States,2020,4,2020-01-25,59158,54396,828,11879,1864,2517,1488,3403,979,1107,637,13610,3185,2,1,,,,,,,,,,,,,,,
01/26/2022,United States,2020,5,2020-02-01,58827,53996,811,11963,1828,2480,1411,3313,981,1074,613,13463,3084,0,0,,,,,,,,,,,,,,,
01/26/2022,United States,2020,6,2020-02-08,59478,54409,806,11704,1957,2515,1464,3413,974,1135,599,14001,3056,3,2,,,,,,,,,,,,,,,
01/26/2022,United States,2020,7,2020-02-15,58817,53971,792,11806,1848,2537,1513,3477,979,1070,616,13644,3088,5,2,,,,,,,,,,,,,,,
01/26/2022,United States,2020,8,2020-02-22,58906,53983,779,11780,1880,2515,1461,3454,968,1059,608,13630,3083,6,6,,,,,,,,,,,,,,,
01/26/2022,United States,2020,9,2020-02-29,59330,54313,813,11790,1831,2519,1507,3460,1011,1092,677,13712,3126,9,9,,,,,,,,,,,,,,,
01/26/2022,United States,2020,10,2020-03-07,59714,54399,811,11712,1868,2511,1608,3471,1002,1071,655,13693,3097,38,34,,,,,,,,,,,,,,,
01/26/2022,United States,2020,11,2020-03-14,58667,53526,756,11568,1743,2445,1641,3390,993,1078,643,13435,3165,60,55,,,,,,,,,,,,,,,
01/26/2022,United States,2020,12,2020-03-21,59216,54300,840,11732,1830,2514,1740,3384,1021,1105,617,13203,3066,588,550,,,,,,,,,,,,,,,
01/26/2022,United States,2020,13,2020-03-28,63014,58230,847,11782,2044,2749,1783,3519,1064,1024,630,13708,3067,3217,3035,,,,,,,,,,,,,,,
01/26/2022,United States,2020,14,2020-04-04,72281,67434,947,11591,2297,2871,1849,3538,1027,1038,689,14943,3165,10134,9632,,,,,,,,,,,,,,,
01/26/2022,United States,2020,15,2020-04-11,79078,73987,833,11549,2354,2963,1615,3441,1017,1120,665,15761,3191,16324,15509,,,,,,,,,,,,,,,
01/26/2022,United States,2020,16,2020-04-18,76794,71882,745,11210,2270,2899,1233,3195,916,1098,669,14567,3204,17203,16294,,,,,,,,,,,,,,,
01/26/2022,United States,2020,17,2020-04-25,73920,68744,735,11366,2085,2804,1138,2994,887,987,674,13862,3058,15554,14657,,,,,,,,,,,,,,,
01/26/2022,United States,2020,18,2020-05-02,69293,63922,739,11097,1935,2727,1009,2928,851,961,547,13003,3042,13217,12432,,,,,,,,,,,,,,,
01/26/2022,United States,2020,19,2020-05-09,66803,61166,720,11014,1972,2498,864,2808,855,938,590,13167,2848,11237,10458,,,,,,,,,,,,,,,
01/26/2022,United States,2020,20,2020-05-16,64480,58983,679,11269,1969,2432,857,2770,787,976,564,12741,2959,9237,8495,,,,,,,,,,,,,,,
01/26/2022,United States,2020,21,2020-05-23,61619,56007,713,11116,1834,2417,804,2675,743,917,571,12788,2827,7248,6593,,,,,,,,,,,,,,,
01/26/2022,United States,2020,22,2020-05-30,59655,53978,654,10903,1813,2261,751,2633,759,893,576,12444,2851,6172,5593,,,,,,,,,,,,,,,
01/26/2022,United States,2020,23,2020-06-06,58893,52922,729,11081,1727,2302,701,2563,779,904,557,12462,2791,5058,4518,,,,,,,,,,,,,,,
01/26/2022,United States,2020,24,2020-06-13,58027,52279,693,11130,1741,2326,700,2503,737,923,586,12420,2838,4232,3729,,,,,,,,,,,,,,,
01/26/2022,United States,2020,25,2020-06-20,57988,52204,685,11157,1792,2362,756,2563,761,932,610,12409,2923,3851,3347,,,,,,,,,,,,,,,
01/26/2022,United States,2020,26,2020-06-27,58504,52640,719,11356,1766,2288,722,2539,775,952,577,12512,2959,3844,3332,,,,,,,,,,,,,,,
01/26/2022,United States,2020,27,2020-07-04,59813,53798,682,11298,1932,2361,658,2623,780,985,593,12868,2833,4552,4048,,,,,,,,,,,,,,,
01/26/2022,United States,2020,28,2020-07-11,61932,55840,764,11333,1954,2472,739,2614,751,915,667,13027,2921,5785,5236,,,,,,,,,,,,,,,
01/26/2022,United States,2020,29,2020-07-18,63175,57147,708,11371,1886,2501,767,2648,712,984,666,12879,2981,7197,6530,,,,,,,,,,,,,,,
01/26/2022,United States,2020,30,2020-07-25,64239,58382,684,11554,1957,2510,781,2558,731,969,674,12930,2913,8247,7518,,,,,,,,,,,,,,,
01/26/2022,United States,2020,31,2020-08-01,64223,58272,689,11513,1989,2502,760,2737,779,961,628,12830,2989,8306,7612,,,,,,,,,,,,,,,
