State,2018 Population,abrv
Alabama,4888949,AL
Alaska,738068,AK
Arizona,7123898,AZ
Arkansas,3020327,AR
California,39776830,CA
Colorado,5684203,CO
Connecticut,3588683,CT
Delaware,971180,DE
District of Columbia,703608,DC
Florida,21312211,FL
Georgia,10545138,GA
Hawaii,1426393,HI
Idaho,1753860,ID
Illinois,12768320,IL
Indiana,6699629,IN
Iowa,3160553,IA
Kansas,2918515,KS
Kentucky,4472265,KY
Louisiana,4682509,LA
Maine,1341582,ME
Maryland,6079602,MD
Massachusetts,6895917,MA
Michigan,9991177,MI
Minnesota,5628162,MN
Mississippi,2982785,MS
Missouri,6135888,MO
Montana,1062330,MT
Nebraska,1932549,NE
Nevada,3056824,NV
New Hampshire,1350575,NH
New Jersey,9032872,NJ
New Mexico,2090708,NM
New York,19862512,NY
North Carolina,10390149,NC
North Dakota,755238,ND
Ohio,11694664,OH
Oklahoma,3940521,OK
Oregon,4199563,OR
Pennsylvania,12823989,PA
Rhode Island,1061712,RI
South Carolina,5088916,SC
South Dakota,877790,SD
Tennessee,6782564,TN
Texas,28704330,TX
Utah,3159345,UT
Vermont,623960,VT
Virginia,8525660,VA
Washington,7530552,WA
West Virginia,1803077,WV
Wisconsin,5818049,WI
Wyoming,573720,WY
