med,med_class,super_class,pharm class,theraputic class,route
adderall,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
adderall xr,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
amphetamine-dextroamphet er,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
amphetamine-dextroamphetamine,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
dextroamphetamine sulfate,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
dextroamphetamine sulfate er,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
lisdexamfetamine dimesylate,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
mydayis,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
vyvanse,amphetamine,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
clonidine hcl er,clonidine,antihypertensive,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
liraglutide -weight management,glp1 agonist,antidiabetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
armodafinil,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
atomoxetine hcl,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
concerta,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
dexmethylphenidate hcl,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
dexmethylphenidate hcl er,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
focalin xr,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
guanfacine hcl er,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
methylphenidate,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
methylphenidate hcl,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
methylphenidate hcl er,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
modafinil,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
phentermine hcl,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
quillivant xr,stimulant,sympathomimetic,adhd/anti-narcolepsy/anti-obesity/anorexiants,central nervous system drugs,
acai,alternative medicines,miscellaneous products,alternative medicines,miscellaneous products,
alpha-lipoic acid,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
apple cider vinegar,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
astaxanthin,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
azo-cranberry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
barberry-oreg grape-goldenseal,alternative medicines,miscellaneous products,alternative medicines,miscellaneous products,
berberine complex,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
bilberry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
bilberry (vaccinium myrtillus),alternative medicines,miscellaneous products,alternative medicines,miscellaneous products,
black cohosh,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
black cohosh extract,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
black cohosh root,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
black elderberry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
black pepper-turmeric,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
boswellia-glucosamine-vit d,alternative medicines,miscellaneous products,alternative medicines,miscellaneous products,
cannabinoids,alternative medicines,miscellaneous products,alternative medicines,miscellaneous products,
chia seed,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
cinnamon,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
collagen,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
complete omega,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
cranberry,alternative medicines,vitamin/ supplemet,alternative medicines,miscellaneous products,
